code,system
14649,gprdproduct
25735,gprdproduct
27396,gprdproduct
34097,gprdproduct
39086,gprdproduct
5892,gprdproduct
56495,gprdproduct
14925,gprdproduct
57622,gprdproduct
7772,gprdproduct
23992,gprdproduct
12638,gprdproduct
1842,gprdproduct
1843,gprdproduct
4163,gprdproduct
26498,gprdproduct
13416,gprdproduct
2455,gprdproduct
47856,gprdproduct
16700,gprdproduct
6209,gprdproduct
9341,gprdproduct
1805,gprdproduct
2459,gprdproduct
25133,gprdproduct
6958,gprdproduct
29953,gprdproduct
1587,gprdproduct
55462,gprdproduct
55907,gprdproduct
24993,gprdproduct
1840,gprdproduct
59533,gprdproduct
7393,gprdproduct
7771,gprdproduct
14505,gprdproduct
28185,gprdproduct
21110,gprdproduct
46001,gprdproduct
16682,gprdproduct
16152,gprdproduct
18590,gprdproduct
18224,gprdproduct
11056,gprdproduct
12035,gprdproduct
30686,gprdproduct
18593,gprdproduct
44251,gprdproduct
13837,gprdproduct
7350,gprdproduct
21374,gprdproduct
36066,gprdproduct
6061,gprdproduct
2456,gprdproduct
57564,gprdproduct
13819,gprdproduct
13729,gprdproduct
7228,gprdproduct
25812,gprdproduct
56502,gprdproduct
36853,gprdproduct
62276,gprdproduct
36031,gprdproduct
43953,gprdproduct
4198,gprdproduct
10243,gprdproduct
41120,gprdproduct
43991,gprdproduct
22697,gprdproduct
5250,gprdproduct
7319,gprdproduct
10572,gprdproduct
8322,gprdproduct
27402,gprdproduct
9376,gprdproduct
24846,gprdproduct
34031,gprdproduct
55910,gprdproduct
9565,gprdproduct
11337,gprdproduct
56489,gprdproduct
1595,gprdproduct
5021,gprdproduct
28442,gprdproduct
5214,gprdproduct
27280,gprdproduct
25736,gprdproduct
12818,gprdproduct
5933,gprdproduct
62180,gprdproduct
30819,gprdproduct
16142,gprdproduct
33966,gprdproduct
51743,gprdproduct
10264,gprdproduct
15710,gprdproduct
50691,gprdproduct
11055,gprdproduct
9521,gprdproduct
10225,gprdproduct
5891,gprdproduct
35701,gprdproduct
14644,gprdproduct
7402,gprdproduct
39006,gprdproduct
29837,gprdproduct
8895,gprdproduct
14301,gprdproduct
4199,gprdproduct
53118,gprdproduct
31205,gprdproduct
13622,gprdproduct
55234,gprdproduct
4706,gprdproduct
7793,gprdproduct
7237,gprdproduct
18592,gprdproduct
46666,gprdproduct
7349,gprdproduct
44378,gprdproduct
7266,gprdproduct
10245,gprdproduct
47360,gprdproduct
52722,gprdproduct
25479,gprdproduct
38986,gprdproduct
43950,gprdproduct
59500,gprdproduct
36146,gprdproduct
10229,gprdproduct
13277,gprdproduct
14928,gprdproduct
26060,gprdproduct
44480,gprdproduct
11107,gprdproduct
60933,gprdproduct
16160,gprdproduct
30209,gprdproduct
10067,gprdproduct
4247,gprdproduct
18461,gprdproduct
10244,gprdproduct
10175,gprdproduct
24002,gprdproduct
9618,gprdproduct
1594,gprdproduct
52748,gprdproduct
4784,gprdproduct
55517,gprdproduct
19491,gprdproduct
14270,gprdproduct
14345,gprdproduct
4760,gprdproduct
2221,gprdproduct
10207,gprdproduct
5845,gprdproduct
4129,gprdproduct
45158,gprdproduct
42954,gprdproduct
19878,gprdproduct
12299,gprdproduct
33167,gprdproduct
6965,gprdproduct
10259,gprdproduct
14313,gprdproduct
12654,gprdproduct
23993,gprdproduct
27461,gprdproduct
36920,gprdproduct
53710,gprdproduct
1844,gprdproduct
16129,gprdproduct
7267,gprdproduct
13516,gprdproduct
24593,gprdproduct
12297,gprdproduct
56115,gprdproduct
10001,gprdproduct
29567,gprdproduct
60938,gprdproduct
61845,gprdproduct
50633,gprdproduct
24795,gprdproduct
33232,gprdproduct
28101,gprdproduct
15484,gprdproduct
21395,gprdproduct
22983,gprdproduct
10208,gprdproduct
21232,gprdproduct
7231,gprdproduct
35253,gprdproduct
18931,gprdproduct
28096,gprdproduct
35468,gprdproduct
57529,gprdproduct
23099,gprdproduct
36194,gprdproduct
14290,gprdproduct
21422,gprdproduct
7300,gprdproduct
14938,gprdproduct
54462,gprdproduct
31258,gprdproduct
21590,gprdproduct
56857,gprdproduct
36430,gprdproduct
27177,gprdproduct
55618,gprdproduct
14299,gprdproduct
35260,gprdproduct
2812,gprdproduct
14619,gprdproduct
36513,gprdproduct
21583,gprdproduct
60951,gprdproduct
4715,gprdproduct
21347,gprdproduct
3396,gprdproduct
10887,gprdproduct
10484,gprdproduct
1806,gprdproduct
17731,gprdproduct
27614,gprdproduct
8203,gprdproduct
2220,gprdproduct
3439,gprdproduct
7537,gprdproduct
42395,gprdproduct
10547,gprdproduct
19513,gprdproduct
8841,gprdproduct
21235,gprdproduct
7318,gprdproduct
10277,gprdproduct
57620,gprdproduct
14944,gprdproduct
14918,gprdproduct
322,gprdproduct
14357,gprdproduct
4093,gprdproduct
1588,gprdproduct
22945,gprdproduct
1592,gprdproduct
28666,gprdproduct
22946,gprdproduct
19977,gprdproduct
5267,gprdproduct
58995,gprdproduct
5789,gprdproduct
6730,gprdproduct
57153,gprdproduct
59311,gprdproduct
6378,gprdproduct
58578,gprdproduct
56656,gprdproduct
59243,gprdproduct
16959,gprdproduct
47751,gprdproduct
56624,gprdproduct
6991,gprdproduct
39150,gprdproduct
7127,gprdproduct
58754,gprdproduct
11521,gprdproduct
5769,gprdproduct
57388,gprdproduct
59133,gprdproduct
17076,gprdproduct
5967,gprdproduct
6228,gprdproduct
11878,gprdproduct
30305,gprdproduct
9702,gprdproduct
5634,gprdproduct
14646,gprdproduct
57387,gprdproduct
13009,gprdproduct
1593,gprdproduct
1886,gprdproduct
6009,gprdproduct
16389,gprdproduct
7062,gprdproduct
37055,gprdproduct
38236,gprdproduct
2929,gprdproduct
3550,gprdproduct
2454,gprdproduct
5255,gprdproduct
4790,gprdproduct
3551,gprdproduct
30236,gprdproduct
15961,gprdproduct
38422,gprdproduct
11080,gprdproduct
1649,gprdproduct
53251,gprdproduct
14362,gprdproduct
7400,gprdproduct
55687,gprdproduct
56691,gprdproduct
55603,gprdproduct
19877,gprdproduct
14330,gprdproduct
52522,gprdproduct
17336,gprdproduct
41959,gprdproduct
28588,gprdproduct
24800,gprdproduct
14930,gprdproduct
14340,gprdproduct
26098,gprdproduct
14339,gprdproduct
9503,gprdproduct
28183,gprdproduct
23231,gprdproduct
14933,gprdproduct
17712,gprdproduct
20995,gprdproduct
17809,gprdproduct
10910,gprdproduct
10915,gprdproduct
22155,gprdproduct
8118,gprdproduct
26338,gprdproduct
51182,gprdproduct
49509,gprdproduct
60626,gprdproduct
41834,gprdproduct
6447,gprdproduct
6057,gprdproduct
15199,gprdproduct
20422,gprdproduct
21554,gprdproduct
5345,gprdproduct
4896,gprdproduct
31465,gprdproduct
31467,gprdproduct
49507,gprdproduct
26621,gprdproduct
42305,gprdproduct
49508,gprdproduct
51836,gprdproduct
36355,gprdproduct
36356,gprdproduct
9737,gprdproduct
5953,gprdproduct
49831,gprdproduct
49108,gprdproduct
42797,gprdproduct
44601,gprdproduct
26403,gprdproduct
22058,gprdproduct
5501,gprdproduct
10184,gprdproduct
13036,gprdproduct
18446,gprdproduct
16866,gprdproduct
